kelas,tweet
1,macet pis jalan setia budi jadi lapar jalan kang ridwankamil traktir dong
3,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg infobdg urc gedebage banjir cileuncang peran gdbg surut https
1,ridwankamil ass pak wali punten gunung batu pas belok dr cimindi volume kendara bnyk lubang lbr sempit solusi pak
1,tiap lampu merah kota bandung banyak bgt ngegangu pis aplgi kl yg msh kecil tkt tabrak
1,okicempakaayu banjir daerah kompleks sukaasih akibat sungai yg menggililingi kompleks menjempit prfmnews ridwankamil
1,kusnantogsucces ridwankamil hentikanrokok kasi ibu hamil angkot caheum-ledeng supir amp tumpang dpn lomba rokok smg ada
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc bojonagara pasang batu andesit trotoar cihampelas https
1,kang ridwankamil mo nanya ari atur tmpt sampah mobil angkot teh udah ada lg ato msh laku pd ada soal nuhun
1,bayuazi ridwankamil dbmpkotabdg jadi trotoar kang ridwankamil beri rambut larang jalan amp parkir atas trotoar
3,jabarprovgoid ridwankamil detikcom bdg enak jalan trotoar berisik beda kota sukabumi enak jidat pkl dvd baja
1,ridwankamil jln yg cat merah cat minyak rubah aja soal aku br jatuh jl riau depan surabi persib ktnya situ sering
3,jabarprovgoid ridwankamil detikcom aheryawan bikin surat edar pemprovjabar larang jual-beli dvd baja jawa barat bekrafid
3,jabarprovgoid ridwankamil detikcom aheryawan bekrafid atur tidak boleh berisik bikin gaduh jalan trotoar
1,gamalaulia bayuazi ridwankamil dbmpkotabdg jadi trotoar kang ridwankamil beri rambut larang jalan amp parkir atas trot
1,dbmpkotabdg mohon bantu tangan tiang pju garuda rawan tumbang timpa kendara camat andir
3,pa pntn mw tny kalo sesuai ttg umk sdh laku tpi klo smp skrg msih pk skema umk gmn bdgdisnaker ridwankamil
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc gedebage baik gedebage selatan
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc karees baik kirmir salur turangga
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc bojonagara baik gegerkalong hilir
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc bojonagara lanjut babad rumput sukawarna baru
1,yth dbmpkotabdg mohon dg hormat benah jalur air sekitar komp bandung indah raya -mekarjaya rancasari hatur nuhun ridwankamil
1,pohinkjr pak stotapan gedebage mun hujan banjir wae ntong daerah tengah wae pa nu benerkeun teh pinggir kota oge kudu mereu
1,dbmpkotabdg ridwankamil kel mkrj rancasari komp bir jadi muara buang air dri komp grdsharon
1,dbmpkotabdg ridwankamil kel mkrj rancasari selokan jl cpmkln halang bangun yg nenpel persis jalan ada trotoar sekali
1,k dunguscariang dbmpkotabdg mohon bantu tangan tiang pju garuda rawan tumbang timpa kendara camat andir ht
3,ridwankamil mdhan thn bandung makin nyaman utk pejal kaki bs jalan trotoar cc dishub kotabdg
1,ikut pak ridwankamil bisa bangun trotoar tidak halang halte bus halte yg saat tidak fungsi trotoarbdg
3,infobdg ridwankamil periscope mdhan hbs parkir nu dagang hehhehe
1,ridwankamil diskominfobdg andri darusman pa wali mohon yg baik gaimana crnya rw banjirselamanya bts dg tol
1,dbmpkotabdg mati lampu rw kel keb pisang lama banget yah
1,ridwankamil pak punten lap alun barau hangseur sareng seeur pis sampah cc infobandung
1,pak ridwankamil pantau abi daerah tegalega sareng leuwi panjang semrawut cc maznot
1,pa ridwankamil prmptn gedebage meni banjir wae kyk kmrn minggu alhamdulillah dan anak jatoh punten bantu pa ridwankamil nhn
3,rtplscibiru ridwankamil benteng jebol milik pusjatan bina harap kang sdg tanggulang sama
1,gf trotoar dewsartika plaz parahy aya ibu amp anak kecil ngagaloler pd sisi sama anak ngagoler dinsos bdg satpolppbdg ridwankamil
3,ujan - ujanan jalan asia afrika bisa ketemu kembar ridwankamil ga
3,widiyanurna ujan - ujanan jalan asia afrika bisa ketemu kembar ridwankamil ga
3,ridwankamil upam tiasa lap supratman aya mushola janten tiasa solat maghrib soalna jadwal futsal jam set sampe jam nya pa nya
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc cibeunying lanjut eru salur sunda veteran https
3,gh lima pmks pd poin gf sdh tangan dg respon cepat beri nilai utk satpolppbdg dinsos bdg cc ridwankamil ekayudhistira
3,gh utk pdkebersihanbdg malam sy beri nilai krn malam jam trlihat sdg kerja pd tiap tempat sampah cc ridwankamil ekayudhistira
3,depan alfamart tsm coba pa dbmpkotabdg yudistiraanderi ridwankamil odedmd yossiirianto diskominfobdg gatot subroto sering
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc pju baik lampu pju pangaritan
1,panjang pasteur bnyk bgt yg parkir ngetem bahkan bawah rambu taksi c
1,bisa foto yg parkir ngetem sembarang jalan pasteur karena setir mobil lapor lapor ridwankamil
1,renienoer astagfirullah pasanggrahan ujung berung mati lampu apa salah dosa nang juru bari poek curhat
1,ridwankamil bagus gimana pak angkot juga ngetem rambu larang stop
1,ridwankamil pdamtirtawening jg dikircon pak sama gak ngalir jg bahkan bulan udah lapor kantor tp gada respon nuhun
1,ridwankamil pa sawah tengah rumah yg mau buat komplek baru takut developnya tanggung jawab malah jadi banjir margacinta
1,gh ibu anak ngagoler tidur tengah lalu lalang byk orang ekayudhistira dinsos bdg ridwankamil satpolppbdg mohon tangan
3,kuat budaya jalan kaki emil banyak trotoar - budayajalankaki via rol ridwankamil
1,ridwankamil punteun panjang jalan sunda mati lampu stop veteran sunda mati barusan yg celaka empat sunda veteran
1,dbmpkotabdg mau nanya jalan cimenyan baru aspal ko jadi gelombang memang lubang sama aja mulus
1,ridwankamil patroli polisi adain lg kang jgn pas dlu jam mlm aja bbrapa tmpt dbdg klo mlm msh rawan todong
1,pdamtirtawening min gimana ampe sekarang mas sulit airharus gimana biar beneran tindak lanjut
3,mohon perhati pa wali ridwankamil dbmpkotabdg nofidiekaputera sdh sangat khawatir skli
3,masnuihmanikay mohon perhati pa wali ridwankamil dbmpkotabdg nofidiekaputera sdh sangat khawatir skli
3,anak gaul bandung ituu anak tak pernah buang sampah sembarang rusak fasilitas kota bandung cc ridwankamil infobdg
1,pdamtirtawening apa mggu air ngalir daerah garu babakan sari
1,diskominfobdg jalan sunda lampu stop lampu merah jalan mati
1,beberapa x lihat tumpang mobil mahal buang sampah jalan miris kaya laku tak didik
1,disdikjbr ridwankamil aheryawan banyak wanita cantik perkosa alias pelet bdg mohon tegak uu larang dukun dukun kriminal
3,laku imbau serta perda thn ridwankamil bplh kotabdg kec kircon
1,punten kang ridwankamil dasar perwal wktu jual psr tumpah jam - d psr ciroyom jam msh bnyk yg jual
1,lalinbdg tl tiga katamso - supratman padam yg tau sejak senin apa sdh tau dishub kotabdg cc prfmnews
1,ridwankamil rajawali timur kembali dulu jam dagang jual tengah jalan
1,yudi suarabdg sejak senin pju padam jl pahlawan depan makam pahlawan cc dbmpkotabdg
1,ridwankamil kang emil trotoar jl h ibrahim adjie kiaracondong rusak dipake parkir mobil
3,obatgaptek pdamtirtawening ridwankamil kalo daerah ngocor nama ngangsu
3,ridwankamil cctv area masjid raya bandung krna sana banyak wisatawan mungkin jg malam sana jd rasa aman
3,ridwankamil slmt pagi pak walikota mohon bantu solusi rumah serta tetangga kompleks
3,kalo sim keliling kab bandu barat mana apakah dgn kota bdg infobdg infobandung dbmpkotabdg prfmnews
1,pdkebersihanbdg ridwankamil pihak rw sdh tahu bahkan biar rumah mrk jauh dr bak sampah jd ganggu spt km yg sekitar
1,ridwankamil ass kang abdi prihtn hampr smua wrga daerh kopo cirang miceun runtah ka walungn mhn dikash pringtn klau prlu sanksi wass
1,iya terlalu banyak rumah salur buang air ada selokan isi sampah
1,ridwankamil pa ieu ada ubah laku na yeuh situ cileunca buahbatu
3,harap pak ridwankamil atas resmi trotoar baru jl riau di jalan di kota bdg
1,ridwankamil satu lg udh tahun yg lalu urus e-ktp tp sekarang selesai
3,tuju tp sistem ikut bangun maznot ridwankamil kompascom bdgcleanaction dbmpkotabdg pdkebersihanbdg bplh kotabdg aaiikh
3,baimmanggala tuju tp sistem ikut bangun maznot ridwankamil kompascom bdgcleanaction dbmpkotabdg pdkebersihanbdg bpl
1,amen angkot yg maksa kalo kasih uang rem b
1,pa ridwankamil pa baik tega lega sini sangat banyak sampah tumpuk bedeng liar nhn
1,ridwankamil bikin macet teh bus pa di tanggap pa
3,ridwankamil pohon kelapa sawit jadi solusi baru atas banjir kota besar
3,infobdg ridwankamil mudahn alih fungsi jd pintas motor
1,ridwankamil yg takut orng bisa rawat spt tmn bunga cilaki waktu msh baru cantik pis
1,dinsos bdg sintalim dayeuhkolot dekat mesjid org gila liar suka ganggu orang yg lewat mohon tindak lanjut nuhun
3,rawan bdg kang ridwankamil cetus panca trotoar jadi standar pedestrian bandung
1,ridwankamil pa kondisi tegalega yg kumuh banyak sampah tum tidk urus bedeng liar baik
1,infobandung dinsos bdg sintalim dayeuhkolot dekat mesjid org gila liar suka ganggu orang yg lewat mohon diti
3,pdamtirtawening nomor langgan ats nama r mokh yunus sidik
3,gi jd raya bdg-lemb dgunakan way utara sdgkn yg dr lembang way parong-bajur ridwankamil tmc restabesbdg ekayudhistira
1,mobil lapak sepatu tiap hari dpn hotel yehezkiel surapati ngabisin trotoar tegur marah prfmnews infobdg ridwankamil
3,dbmpkotabdg kalau mau cek ektp kota bandung jadi apa mana yah
1,mohon tanggap infobdg ridwankamil pln pln bandung kec cigending kec ujungberung sdh hr listrik mati hari kali
3,gi kcuali utk angkot dbolehkn arah mrk cr nafkah yg punya mobil lanj naik angkot ridwankamil tmc restabesbdg ekayudhistira
3,baru lihat capturan pak ridwankamil bangga hadap bapak bapak pimpin yng tegas sukses pak
3,gi upam way opsi parantos efektif alhamdulilah hasilna sae kl opsia msh krg brlanj opsib tmc restabesbdg ridwankamil haturnuhun
1,rawan bdg ridwankamil banyak trotoar rusak sama tukang gali kabel mudah mudah ini ngga
1,ridwankamil seueur pis lebet trotoar nu jalan kaki malah klakson lokasi asia-afrika
1,dbmpkotabdg rkbdg complain pak proyek tepat sasar yg baik malah ruas jalan yg rusak yg rusak kata baru mei
1,infobdg ridwankamil satpolppbdg kang emil rumah wastukencana samping benkel virtu bakar sampah ajah
1,ridwankamil kang emil di ujung berung sering mati lampu kaan kerja rumah jdi ketundaa
1,pa wali ridwankamil dbmpkotabdg dam yg sdh fungsi salahsatu pebyebab luap kali citiis mukim warga
3,kebonjayanti dar kritik mohon timbang masy klo mo bikin acara sblm jd viral klo dah cc ridwankamil
1,ridwankamil pak punteun pantau lampu merah pasteur banyak anak jalan suka ngambil paksa barang kendara motor hatur nuhun
2,nuhun pdamtirtawening ridwankamil pipa pdam bocor rw sdserang baik sdng laku good job
2,endangdjumena nuhun pdamtirtawening ridwankamil pipa pdam bocor rw sdserang baik sdng laku good job
1,mohon tanggap pln pln bandung ridwankamil infobdg hari kel cigending kec ujungberung kota bandung x mati lampu
1,dinsos bdg simbolis bntuan dinsos untk klrg krbn kebkran v mhn prhtkn jg aspek yg krn klrg krbn msh lantar
3,kang ridwankamil kpn transport umum batas yg baru kereta kira wacana tidak hatu nuhun
1,trotoar dago dpn rs sariningsih bnyk angkot parkir ujung trotoar pejal kali paksa hrs jalan pinggir jalan aspal ridwankamil
3,prfmnews yunisusila supir angkot musti ikan perintah boleh masukin amen dalam angkot satpolppbdg ridwankamil
3,prfmnews yunisusila kalau amen maksa baik supir kemudi angkot langsung dalam kantor polisi satpolppbdg ridwankamil
1,prfmnews yunisusila satpolppbdg ridwankamil banyak sekali amen amp emis baca puisi masuk angkot maupun dalam bus bdg
1,akar pohon mahoni bawa petaka rw kota bdg prfmnews dbmpkotabdg diskamtam ridwankamil
1,lapor dishub kotabdg bis alun-ciburuy kode ugalan sejak alun ngebut di depan bis dgn jurus yg sama
1,ridwankamil kang maha kawasan wisata belanja cibaduyut ayeuna mah sepi unjung padahal asset daerah punten solusi na
3,kang ridwankamil masih penasaran patung lambang negara warna putih polos bcc knp polos mksh
1,via reckythea pohon jln parapatan lampu merah gandok mau roboh mhn tindak lanjutin nuhun diskamtam
1,reckythea pdamtirtawening apa benar nya dgn jalur sukasari surya sumantriair nya jarang ngocor punten perhatoskeun bosen
3,ridwankamil kang gimana kalo bikin website khusus cari kerja bandung hari gin biar gak tiap hari mantengin koran kang
1,infobdg ridwankamil parkir preman jamur tidak tertib timbul macet ada unsur paksa kircon
1,prfmnews dinsos bdg tegalega banyak anak punk bikin resah suka minta uang dg paksa
1,yetiezy tegalega banyak anak punk bikin resah suka minta uang dg paksa cc satpolppbdg dinsos bdg
3,budiraharjo sama sosialisasi masyarakat klo trotoar utk pejal kaki prfmnews se bdg satpolppbdg
1,prfmnews yetiezy satpolppbdg dinsos bdg betul anak funk tegalega ngamen minta paksa hasil beliin minum lem mabok taman tege
1,prfmnews satpolppbdg dinsos bdg taman tegalega kumuh pis pintu masuk depan sebrang sribaduga patah tengah taman bnyak gembel
1,prfmnews satpolppbdg dinsos bdg kapan atuh bersih tegalega nu penting mah eta kupu malam na ari malam minggu bnyk pis
1,inisialag kapan atuh bersih tg nu penting mah eta kupu malam na ari malam minggu bnyk pis cc satpolppbdg dinsos bdg
1,prfmnews yetiezy tegalega banyak anak punk bikin resah suka minta uang dg paksa cc satpolppbdg dinsos bdg
1,jangan buang sampah pot bunga pdkebersihanbdg ridwankamil prfmnews infobandung bplh kotabdg se bdg
1,yg msh mulus sj sdh aspal lg di wil yg sdh rusak parah kpn ridwankamil dbmpkotabdg kec cibkidul
3,atlas barat pak wil di jl h syahroni kelcikutra kec cibkidul dbmpkotabdg ridwankamil
3,giat buat resap biopori kec cicendo tmn pandawa selasa kec cicendo ridwankamil dbmpkotabdg
1,fathur okky jangan buang sampah pot bunga pdkebersihanbdg ridwankamil prfmnews infobandung bplh kotabdg se bdg
3,sihabudin dad giat buat resap biopori kec cicendo tmn pandawa selasa kec cicendo ridwankamil dbmpkotabdg http
1,tah pak ridwankamil manya motor jalan na trotoar se bdg infobandung
1,kang ridwankamil gorong alun pinggir trotoar bolong bau nyamuk nyaman ga sehat banyak buang sampah
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc bojonagara lanjut baik gegerkalong hilir https
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc bojonagara ljtn pasang ubin andesit cihampelas https
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc gedebage lanjut baik gedebage selatan
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc tegallega eru salur cibaduyut
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc pju baik lampu pju siliwangi
1,dhanibhulle tah pak ridwankamil manya motor jalan na trotoar se bdg infobandung
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc pju baik lampu pju panyileukan
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc pju baik lampu pju ganesha
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc pju baik lampu pju golf timur
1,pa knpa jalan gegerkalong kaya gigi gitu tambalin pan singkron ridwankamil
3,gj masuk suatu d masa depan utk trotoar ps baru sukajd danlainny yg stipe dbmpkotabdg ridwankamil
3,gj kaki gerobak pd liuk atas kaki lg dbwh miring bgitu yg dagang kaos- gt rada susah ngampar dbmpkotabdg ridwankamil
1,bennyspeed ridwankamil d jalan arumsari pak minggu jg padahal salur udh pindah ttp ada ubah help me
3,gj perihal diameter liuk interval antarliukan tinggi liuk dr base arsitek yg mikirkn bs mcegah pkl ngampar dbmpkotabdg ridwankamil
1,ridwankamil diskominfobdg andri darusman mapay lembur bbrp titik msh rusak rw th usul dbmp
3,bangga bgt jd anak uai foto mahasiswa nya aja upload ig pak ridwankamil cc daftaruai
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc cibeunying lanjut eru salur cihampelas
1,empat tahun bdg kieu apa baik panjang aja median kircon dbmpkotabdg
3,gk ass pa ridwankamil nilai utk - gt dbmpkotabdg respon cepat dm ttg lampu pju
3,ridwankamil assalamu alaikum pak pak mau tanya kalau mau undang bapak bagai materi seminar bagaimana cara
3,pak ridwankamil abi gaduh saran kmha mun banyak pohon dkt jalan raya trotoar
3,gk hanya respon mjawab twit dm ptugasna sdg tugas realtime pd lampu pju nilai - gt dbmpkotabdg lt - cc ridwankamil
3,wp umar wkusuma gk hanya respon mjawab twit dm ptugasna sdg tugas realtime pd lampu pju nilai - gt dbmpkotabdg lt - cc r
1,lexxspeed prfmnews ridwankamil banyak jual panjang jalan otista
3,lexxspeed prfmnews ridwankamil restabes bdg dishub kotabdg divhumaspolri gimana mau tegak atur langgar sendiri https
3,iskandar pcc albert jester coba tanya pak ridwankamil bagaimana stratgi beliau kalau jd gub aceh apa kiat utk bang
3,che p prfmnews ridwankamil bahaya mun ksorot mata pngendara yg lewat bs pecah konsentrasi amp brpotensi jd celaka
3,lexxspeed prfmnews ridwankamil nanaonan eta teh kang sering ninggal oge motor ngangge laser kitu teh daerah cibabat cimahi
1,infobdg pak ridwankamil untuk tindak supir angkot st hall - lembang suka naik ongkos enak kalau macet
2,ridwankamil odedmd yossiirianto diskominfobdg urc pju baik lampu pju cikajang raya
3,ridwankamil deddy mizwar usul kl bwt pntu tol ngmprah yg tmbus lmbg slain mngrangi bbn mct kt bdg jg utk mmbuka pst eknomi baru
3,paviliunsunda ridwankamil sekarang tinggal cari tempat kantung parkir apa apa aga jauh kan trotoar udah nyaman
3,ridwankamil hrs ucap selamat kalau dar aman oke yg nanya ada mempermslhkan aqidah
3,ridwankamil kok akang singgung akidah kalau mau sama dg erdogan apa ada tauladan yg hebat rasulullah saw
2,ridwankamil odedmd yossiirianto diskominfobdg urc pju baik lampu pju kuningan raya
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc pju baik lampu pju lengkong kecil
1,tempat henti motor lampu merah nyata bahaya licin air hujan baru aja motor jatuh masuk aing lah dishub kotabdg
1,pdamtirtawening ridwankamil punten pak cai ka rw teu ngocor punten wartoskeun ka kait kocorkeun kitu pa cing karu
3,dbmpkotabdg trotoar pakai parkir dilimtasi mbl mtr buat taman tempat duduk yg banyak
1,pdamtirtawening hari air pam sarijadi keluar mohon buka alir butuh sekali
3,budaya bersih buang sampah pd tempatnta adl ciri org adab iman ridwankamil prfmnews
3,denurha pdk budaya bersih buang sampah pd tempatnta adl ciri org adab iman ridwankamil prfmnews
1,pdamtirtawening ridwankamil wilujeng enjing punten nyungken dibantos cai tos teu ngocor dinten rw kampus v bbk sari kircon
1,selamat pagi tl simp palasari lodaya sering lihat dr arah burangrang krn lampu mati amp tutup ranting dishub kotabdg diskamtam
1,tl simp malabar-gatsu sering padam amp banyak lampu yg mati mhn perhati dishub kotabdg cc iwginting diskominfobdg prfmnews
1,eka harijanto tl simp malabar-gatsu sering padam amp banyak lampu yg mati mhn perhati dishub kotabdg cc iwginting diskominfo
3,aslm punten pak ridwankamil mau tanya apa thn bsk dbdg tes cpnssaya lgi galau pilih sendiri ortu
3,ridwankamil asa makin cinta ka bandung bangun semua infrastrukturna pesat skl serasa periode masa jabat haturnuhun kang emil
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc pju baik lampu pju sanggar kencana
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc pju baik lampu pju terus saluyu
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc pju baik kabel lampu pju pahlawan
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc pju baik lampu pju cikajang raya
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc pju baik lampu pju kuningan raya
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc pju baik lampu pju ajar juang
2,dbmpkotabdg ridwankamil odedmd yossiirianto diskominfobdg urc pju baik lampu pju arcamanik endah
1,pagi kang ridwankamil hari libur dibndng jpo dpn alun bau pesing banyak sampah pantes pd nyebrang jalan
1,pak ridwankamil mohon jelas buat akte lahir bandung lamaaaaa banget sampe bln selesai
1,pdamtirtawening teu ngocor deui daerah mulyasari cipedes
3,kalo tertib brandgang di siapa dbmpkotabdg distarcipbdg satpolppbdg naros pa ridwankamil colek prfmnews infobandung
3,yourml ridwankamil kompascom udah rawat kok aku kemaren sana biasa aja normal bau
1,saurwargi dhanibhulle tah pak ridwankamil manya motor jalan na trotoar dbmpkotabdg infobandung trotoarian
1,se bdg saurwargi dhanibhulle tah pak ridwankamil manya motor jalan na trotoar dbmpkotabdg infobandung trotoarian
1,pdamtirtawening min kunaon tiap jum at sampe senin teu ngocor ayeuna teu ngocor deui aya ngocor janari maha
1,urang kebon cau simpang arjuna ieu pagawen ungal peuting sampah luhur susu jauh jeung kahayang ridwankamil
1,infobandung dbmpkotabdg ridwankamil baik muararajeun br spotong sebgn kecil kapan lanjut
3,dbmpkotabdg cistik sayur distarcipbdg ridwankamil prfmnews infobandung seksi tramtib camat tempat yg diback up sat
3,ridwankamil kurang bahagia masih galau pak
3,bagus trotoar kang
1,ridwankamil pak baru riau ya krn taman pramuka trotoar bagus bagi jl riau keliling msh buruk
3,obatgaptek pdamtirtawening ridwankamil ngangsu tuh kalo sumur kering ambil air sumber air
1,ridwankamil mohon tinjau surat izin lokasi nagrog ujungberung
1,pak ridwankamil jln sukarnohatta daerah mtc mim teu aya jembatan seberang mangkaning seueur barudak sakola nu arameng kadi
3,pak ridwankamil punten bayu dr bni syariah kl mau aju surat tawar bs hubung siapa paksiapa tau dikerjasamakan
1,pak ridwankamil daerah mtc mim teu aya jembatan seberang mangkaning seueur barudak sakola nu arameng kadi sok ngarebut infobdg
3,kang kmrn mlm teh kn lewat baksil taman nya meni indah pis yah meni udah gakuat pgn roromantisan sama kabogoh batur ridwankamil
1,ridwankamil dbmpkotabdg yossiirianto odedmd warga banyubiru usaha kerja bakti tetep bisa nanggulangi banjir n warga mohon solusi
3,ridwankamil kalo umur udah th tp jwbnya msih boleh sama mama msh masuk kategori sadis
3,ridwankamil sae renah ngan ketatkeun pkl trotoar sareung parkir geuning seeur ku datang
1,pak ridwankamil minggu lalu jalan aa kotor sekali bau pesing kasi tugas bersih
1,ridwankamil sisa geng motor teu puguh ada daerah cibogo sarijadi
1,layan kantor bpjskesehatanri ajar juang bdg sgt lama numpuk komp cs aja yg banyak csnya cuma org jokowi ridwankamil
1,netizen photo prfm wan setiawan via wa eh sdh parkir mobil trotoar depan bri riau cc ridwankamil
1,prfmnews netizen photo prfm wan setiawan via wa eh sdh parkir mobil trotoar depan bri riau cc ridwankamil
1,ridwankamil b harap smga bdg lbh aman lg spt curanmor r yg msh bila hari msh hilang motor hr jg peras
1,pdamtirtawening maaf pak daerah ciumbuleuit udah hari ngak air tlp adu ada yg angkat
3,pdamtirtawening langgan
3,pak beasiswa nya yg duduk bangku kuliah apa yg saya baru lulus smk tahun depan bales pak ridwankamil
1,kang ridwankamil cuma bandung parkir kayak gin yah dia punya jalan nya
3,rescue damkar bakar kr tamam cibeunying dpn rm gudeg banda
3,gl ass pa dbmpkotabdg ridwankamil sketsa utk trotoar poin gj tea utk trotoar yg srg penuh pkl trutama gerobak
3,ridwankamil pak iya gitu kalo yg jual torompet alun teh jaromblo
2,wartabdg via rescue damkar evakuasi bakar kr tmn cibeunying dpn rm gudeg banda rawan damkar infofire
3,breakingnews bakar kr tamam cibeunying dpn rm gudeg banda rescue damkar
3,wartabdg rescue damkar bakar kr tamam cibeunying dpn rm gudeg banda
1,ridwankamil symbol ngalangkung ka dew i sartika tinggal pajeujeul pas tengah trotoar
3,infobdg breakingnews bakar kr tamam cibeunying dpn rm gudeg banda rescue damkar
1,ridwankamil tp dsini minggu rumah yg hilang motor pak bahkan tamu parkir mobil hilang gmna tu pakmksh
3,usul kang ridwankamil sekali psg rambu larang jual amp parkir trotoar
3,ridwankamil mohon info kapan taman gazibu yg baru nikmat warga bandung haturnuwun info
3,gamalaulia usul kang ridwankamil sekali psg rambu larang jual amp parkir trotoar
2,se bdg wartabdg via rescue damkar evakuasi bakar kr tmn cibeunying dpn rm gudeg banda rawan damkar infofire
3,infobandung wartabdg rescue damkar bakar kr tamam cibeunying dpn rm gudeg banda
3,diasudiana ridwankamil mudah prioritas gak tempat banyak injak karena semua tempat butuh trotoar
1,pa ridwankamil naha abdi megat angkot jln terus jakarta kana angkot teu aya nu eureun pa dishub kotabdg
1,punten pak ridwankamil aya keneh nu ngaroko tempat umum at mesjid agung bandung
1,punten dbmpkotabdg lampu nyala trs empat buahbatu apa efek mendung
1,topeng monyet lagi bbrpa prmpatan kota bandung savemonyet cc ridwankamil infobandung satpolppbdg
1,min hero bandung dulu udah topeng monyet skrg ada lagi savemonyet cc ridwankamil satpolppbdg
1,ridwankamil punten kang pami papan reklame teh aya batas waktu pasang eta jl layang msh nempel
1,antre kalimat bpjs bulan agustus pak ridwankamil ada solusi biar gak ngantri jau banget bpjs cabang suci bandung
2,tindak parkir atas trotoar ridwankamil odedmd yossiirianto
2,bdgstarlight tindak parkir atas trotoar ridwankamil odedmd yossiirianto
2,mantabsrt bdgstarlight tindak parkir atas trotoar re martadinata ridwankamil herlanisanusi iwginting
3,cat kerb jalan jl asia afrika cc ridwankamil odedmd yossiirianto dbmpkotabdg
3,keclengkong cat kerb jalan jl asia afrika cc ridwankamil odedmd yossiirianto dbmpkotabdg
3,ridwankamil assalamualaikum pak terima kasih banyak karna beri sarana transportasi busway daerah sarijadi sekali nuhun
3,ridwankamil parkir dah atuh pak biar gak susah nangkring taman
1,siang tl supratman-katamso padam ada tugas tl martadinata-seram kedip kuning semrawut dishub kotabdg iwginting prfmnews
1,tl simp malabar-gatsu sering padam amp banyak lampu yg mati mhn perhati pemkotbdg tmc restabesbdg cc ridwankamil prfmnews
1,eka harijanto tl simp malabar-gatsu sering padam amp banyak lampu yg mati mhn perhati pemkotbdg tmc restabesbdg cc ridwankam
1,lampu merah prtigaan brigjend katamso-supratman dpn ppi udh bbrp hr mati mhn prhatiannya nhn infobandung dishub kotabdg ridwankamil
1,via too cats tiga jam lebih mati lampu taman kopo iii apa yah cc dishub kotabdg
1,infobdg via too cats tiga jam lebih mati lampu taman kopo iii apa yah cc dishub kotabdg
1,mati lampu pln keleus min infobdg via too cats tiga jam lebih mati lampu taman kopo iii apa yah cc dishub kotabdg
3,go krn dg trwujud cablecar bs mnjd ksuksesan kemenhub jg sbg solusi transp macet masa depan kemenhub ridwankamil
1,erdhyvederosa min hero bandung dulu udah topeng monyet skrg ada lagi savemonyet cc ridwankamil satpolppbdg http
1,pdamtirtawening saat air pdam alir pak kira kira kapan air
3,syiah model herrreza suka sama walkot kaum minoritas kafir sekali cc ridwankamil
3,pak ridwankamil tulungan lah tadi manggil tukang cuangki nya naha nu datang na tukang siomayy
1,ridwankamil satpolppbdg boston parking emang pikasebeleun kang istana plaza jual spot valet tengah maksa
3,kang ridwankamil abdi pasea sareng tukang parkir caket alun alun piraku abdi dipiwarang nyetandar duakeun mobil
1,pak ridwankamil kemarin liat banyak orang masuk anak muda mabok lem stop rshs takut nekat ganggu kendara
1,ridwankamil pkl amen emis daerah otista makin parah aja tuh pak
1,dishub kotabdg patuh rambu rambu yg sedia gitu gimana angkot tuh ngetem sembarang tiew
1,ridwankamil mff kang revitalilasasi macet daerah cibiru sampe cileunyi apkah ada rencana spya trlalu macet maksh
3,ridwankamil kl kendara mtr yg langgar atur coba sita aja mtrnya minggu sebln bl wktnya baru ambil dgn bayar denda
3,ridwankamil kang jadi jahat aparat dishub sengaja biar kendara gembok cicendo yang aneh rata kendara
3,erlandrefi kang ridwankamil abdi pasea sareng tukang parkir caket alun alun piraku abdi dipiwarang nyetandar duakeun mobil
